	Compound_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID	HMDB_ID_Link	COMP_ID	PLATFORM	CHEMICAL_ID	RT	MZ	RI	MASS	PUBCHEM	CAS	KEGG	Metabolite
428	428	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0003357	HMDB03357	32984	LC/MS Pos Early	100000285	2000	175.10769999999999	2000	175.10769999999999	439232	1572591	C00437	N-alpha-acetylornithine
431	431	Amino Acid	Urea cycle; Arginine and Proline Metabolism	NA	NA	62068	LC/MS Pos Early	100020215	1145	146.0812	1145	146.0812	NA	NA	NA	N-methylhydroxyproline
432	432	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000725	HMDB00725	32306	LC/MS Pos Early	1001	1064	132.06549999999999	1064	132.06549999999999	5810	51-35-4	C01157	hydroxyproline
434	434	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0006695	HMDB06695	35127	LC/MS Pos Early	100001167	2128	229.1183	2128	229.1183	11673055	18684-24-7	NA	prolylhydroxyproline
437	437	Amino Acid	Urea cycle; Arginine and Proline Metabolism	NA	NA	37431	LC/MS Pos Early	100001956	1335	130.08629999999999	1335	130.08629999999999	557	475-11-6	NA	N-methylproline
438	438	Amino Acid	Urea cycle; Arginine and Proline Metabolism	NA	NA	62947	LC/MS Pos Early	100020217	2470	229.15469999999999	2470	229.15469999999999	NA	NA	NA	N,N,N-trimethyl-alanylproline betaine (TMAP)
440	440	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0029416	HMDB29416	43586	LC/MS Pos Early	100004488	2845	189.13460000000001	2845	189.13460000000001	132862	53308-83-1	C03884	N-monomethylarginine
444	444	Amino Acid	Urea cycle; Arginine and Proline Metabolism	NA	NA	62707	LC/MS Pos Early	100020513	1363	232.1292	1363	232.1292	NA	NA	NA	N-acetylhomocitrulline
446	446	Amino Acid	Creatine Metabolism	HMDB0000128	HMDB00128	43802	LC/MS Polar	344	2884	116.0466	2884	116.0466	763	352-97-6	C00581	guanidinoacetate
447	447	Amino Acid	Creatine Metabolism	HMDB0000064	HMDB00064	27718	LC/MS Pos Early	1221	1947	132.07679999999999	1947	132.07679999999999	586	57-00-1	C00300	creatine
448	448	Amino Acid	Creatine Metabolism	HMDB0000562	HMDB00562	513	LC/MS Pos Early	275	2055	114.06619999999999	2055	114.06619999999999	588	60-27-5	C00791	creatinine
449	449	Amino Acid	Creatine Metabolism	HMDB0001511	HMDB01511	33951	LC/MS Neg	100000112	603	210.02850000000001	603	210.02850000000001	587	922-32-7	C02305	creatine phosphate
454	454	Amino Acid	Polyamine Metabolism	HMDB0001414	HMDB01414	1408	LC/MS Pos Early	49	3027	89.107299999999995	3027	89.107299999999995	1045	110-60-1	C00134	putrescine
456	456	Amino Acid	Polyamine Metabolism	NA	NA	62309	LC/MS Pos Early	100020487	2305	203.13900000000001	2305	203.13900000000001	NA	NA	NA	N-acetyl-isoputreanine*
457	457	Amino Acid	Polyamine Metabolism	HMDB0001257	HMDB01257	485	LC/MS Pos Early	50	3355	146.1652	3355	146.1652	1102	124-20-9	C00315	spermidine
459	459	Amino Acid	Polyamine Metabolism	HMDB0001276	HMDB01276	57689	LC/MS Pos Early	187	3075	188.17570000000001	3075	188.17570000000001	496	14278-49-0	C00612	N('1)-acetylspermidine
465	465	Amino Acid	Polyamine Metabolism	HMDB0001173	HMDB01173	1419	LC/MS Pos Early	212	2752	298.09679999999997	2752	298.09679999999997	439176	2457-80-9	C00170	5-methylthioadenosine (MTA)
470	470	Amino Acid	Polyamine Metabolism	HMDB0003681	HMDB03681	1558	LC/MS Pos Early	1113	1350	146.0812	1350	146.0812	18189	3025-96-5	C02946	4-acetamidobutanoate
475	475	Amino Acid	Guanidino and Acetamido Metabolism	HMDB0003464	HMDB03464	15681	LC/MS Pos Early	100000096	2320	146.0924	2320	146.0924	500	463-003;463-00-3	C01035	4-guanidinobutanoate
479	479	Amino Acid	Glutathione Metabolism	HMDB0003337	HMDB03337	27727	LC/MS Pos Early	448	2667	613.15930000000003	2667	613.15930000000003	65359	103239-24-3	C00127	glutathione, oxidized (GSSG)
482	482	Amino Acid	Glutathione Metabolism	HMDB0000656	HMDB00656	35159	LC/MS Pos Early	100001437	2465	427.09519999999998	2465	427.09519999999998	4247235	13081-14-6	NA	cysteine-glutathione disulfide
486	486	Amino Acid	Glutathione Metabolism	HMDB0000709	HMDB00709	62103	LC/MS Pos Early	100002466	2547	298.05259999999998	2547	298.05259999999998	NA	70555-24-7	NA	cysteinylglycine disulfide*
488	488	Amino Acid	Glutathione Metabolism	HMDB0000267	HMDB00267	1494	LC/MS Neg	1021	738.5	128.03530000000001	738.5	128.03530000000001	7405	98-79-3	C01879	5-oxoproline
489	489	Amino Acid	Glutathione Metabolism	HMDB0000650	HMDB00650	42374	LC/MS Pos Early	1128	2059	104.0706	2059	104.0706	439691	1492-24-6	C02261	2-aminobutyrate
491	491	Amino Acid	Glutathione Metabolism	NA	NA	52281	LC/MS Polar	100008928	1258	103.0401	1258	103.0401	NA	NA	NA	2-hydroxybutyrate/2-hydroxyisobutyrate
493	493	Amino Acid	Glutathione Metabolism	HMDB0005765	HMDB05765	34592	LC/MS Pos Early	100001311	2085	290.13470000000001	2085	290.13470000000001	7018721	495-27-2	NA	ophthalmate
537	537	Peptide	Gamma-glutamyl Amino Acid	HMDB0029142	HMDB29142	37063	LC/MS Pos Early	100001843	1986	219.0976	1986	219.0976	440103	5875-41-2	NA	gamma-glutamylalanine
539	539	Peptide	Gamma-glutamyl Amino Acid	HMDB0011737	HMDB11737	36738	LC/MS Pos Early	331	1775	277.10300000000001	1775	277.10300000000001	92865	1116-22-9	C05282	gamma-glutamylglutamate
540	540	Peptide	Gamma-glutamyl Amino Acid	HMDB0011738	HMDB11738	2730	LC/MS Pos Early	1140	1430	276.11900000000003	1430	276.11900000000003	150914	10148-81-9	C05283	gamma-glutamylglutamine
541	541	Peptide	Gamma-glutamyl Amino Acid	HMDB0011667	HMDB11667	33949	LC/MS Pos Early	100001294	1535	205.08189999999999	1535	205.08189999999999	165527	1948-29-4	NA	gamma-glutamylglycine
542	542	Peptide	Gamma-glutamyl Amino Acid	NA	NA	18245	LC/MS Pos Early	1235	2740	285.11939999999998	2740	285.11939999999998	7017195	37460-15-4	NA	gamma-glutamylhistidine
543	543	Peptide	Gamma-glutamyl Amino Acid	HMDB0011170	HMDB11170	34456	LC/MS Pos Early	100001485	2940	261.14449999999999	2940	261.14449999999999	14253342	NA	NA	gamma-glutamylisoleucine*
544	544	Peptide	Gamma-glutamyl Amino Acid	HMDB0011171	HMDB11171	18369	LC/MS Pos Early	1268	2991	261.14449999999999	2991	261.14449999999999	151023	2566-39-4	NA	gamma-glutamylleucine
545	545	Peptide	Gamma-glutamyl Amino Acid	NA	NA	55015	LC/MS Pos Early	100010901	2784	276.15539999999999	2784	276.15539999999999	65254	NA	NA	gamma-glutamyl-alpha-lysine
546	546	Peptide	Gamma-glutamyl Amino Acid	HMDB0003869	HMDB03869	33934	LC/MS Pos Early	100001262	2725	276.15539999999999	2725	276.15539999999999	7015685	17105-15-6	NA	gamma-glutamyl-epsilon-lysine
547	547	Peptide	Gamma-glutamyl Amino Acid	HMDB0029155	HMDB29155	44872	LC/MS Pos Early	100001313	2640	279.10090000000002	2640	279.10090000000002	7009567	17663-87-5	NA	gamma-glutamylmethionine
548	548	Peptide	Gamma-glutamyl Amino Acid	HMDB0000594	HMDB00594	33422	LC/MS Pos Early	100000491	2992	295.12889999999999	2992	295.12889999999999	111299	7432-24-8	NA	gamma-glutamylphenylalanine
549	549	Peptide	Gamma-glutamyl Amino Acid	HMDB0029159	HMDB29159	33364	LC/MS Pos Early	100001314	1750	249.10810000000001	1750	249.10810000000001	76078708	5652-48-2	NA	gamma-glutamylthreonine
550	550	Peptide	Gamma-glutamyl Amino Acid	HMDB0029160	HMDB29160	33947	LC/MS Pos Early	100001295	2975	334.13979999999998	2975	334.13979999999998	3989307	66471-20-3	NA	gamma-glutamyltryptophan
551	551	Peptide	Gamma-glutamyl Amino Acid	HMDB0011741	HMDB11741	2734	LC/MS Pos Early	1102	2518	311.12380000000002	2518	311.12380000000002	94340	7432-23-7	NA	gamma-glutamyltyrosine
552	552	Peptide	Gamma-glutamyl Amino Acid	HMDB0011172	HMDB11172	43829	LC/MS Pos Early	100001126	2700	247.12889999999999	2700	247.12889999999999	7015683	2746-34-1	NA	gamma-glutamylvaline
554	554	Peptide	Gamma-glutamyl Amino Acid	NA	NA	62104	LC/MS Pos Early	100020241	1644	305.1456	1644	305.1456	NA	NA	NA	gamma-glutamylcitrulline*
1022	1022	Peptide	Acetylated Peptides	NA	NA	48425	LC/MS Pos Early	100006108	3092	280.15429999999998	3092	280.15429999999998	101724840	287108-21-8	NA	phenylacetylcarnitine
1025	1025	Peptide	Acetylated Peptides	HMDB0006344	HMDB06344	35126	LC/MS Pos Early	100001417	2145	265.11829999999998	2145	265.11829999999998	92258	28047-15-6	C04148	phenylacetylglutamine
1028	1028	Peptide	Acetylated Peptides	HMDB0000821	HMDB00821	33945	LC/MS Polar	100001275	1080	192.06659999999999	1080	192.06659999999999	68144	500-98-1	C05598	phenylacetylglycine
1057	1057	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	HMDB0002712	HMDB02712	20675	LC/MS Neg	100000580	802	163.06120000000001	802	163.06120000000001	64960	154-58-5	C07326	1,5-anhydroglucitol (1,5-AG)
1060	1060	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	HMDB0000122	HMDB00122	20488	LC/MS Polar	572	2342	179.05609999999999	2342	179.05609999999999	79025	50-99-7	C00031	glucose
1076	1076	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	HMDB0000243	HMDB00243	42582	LC/MS Neg	823	732.4	87.008799999999994	732.4	87.008799999999994	1060	127-17-3	C00022	pyruvate
1077	1077	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	HMDB0000190	HMDB00190	527	LC/MS Polar	482	1468.8	89.0244	1468.8	89.0244	612	79-33-4	C00186	lactate
1080	1080	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	HMDB0000139	HMDB00139	1572	LC/MS Polar	1052	2070.4	105.0193	2070.4	105.0193	752	600-19-1	C00258	glycerate
1098	1098	Carbohydrate	Pentose Metabolism	HMDB0000283	HMDB00283	1471	LC/MS Polar	914	1508.2	195.05099999999999	1508.2	195.05099999999999	5779	50-69-1	C00121	ribose
1099	1099	Carbohydrate	Pentose Metabolism	HMDB0000508	HMDB00508	15772	LC/MS Polar	100000406	1789.6	151.06120000000001	1789.6	151.06120000000001	6912	488-81-3	C00474	ribitol
1100	1100	Carbohydrate	Pentose Metabolism	HMDB0000867	HMDB00867	27731	LC/MS Polar	100001007	2425	165.04050000000001	2425	165.04050000000001	5460677	1255190	C01685	ribonate (ribonolactone)
1104	1104	Carbohydrate	Pentose Metabolism	HMDB0000098	HMDB00098	15581	LC/MS Polar	826	1727	195.05099999999999	1727	195.05099999999999	135191	609-06-3	C00181	xylose
1114	1114	Carbohydrate	Pentose Metabolism	NA	NA	48885	LC/MS Polar	100006430	1932.4	151.06120000000001	1932.4	151.06120000000001	6912	NA	C01904	arabitol/xylitol
1120	1120	Carbohydrate	Pentose Metabolism	NA	NA	48255	LC/MS Polar	100006115	2700	165.04050000000001	2700	165.04050000000001	NA	NA	NA	arabonate/xylonate
1124	1124	Carbohydrate	Pentose Metabolism	NA	NA	61858	LC/MS Polar	100019968	2350	165.04050000000001	2350	165.04050000000001	NA	NA	NA	ribulonate/xylulonate/lyxonate*
1176	1176	Carbohydrate	Fructose, Mannose and Galactose Metabolism	HMDB0000660	HMDB00660	48195	LC/MS Polar	878	2065	225.0616	2065	225.0616	5984	57-48-7	C00095	fructose
1181	1181	Carbohydrate	Fructose, Mannose and Galactose Metabolism	HMDB0000247	HMDB00247	46142	LC/MS Polar	100001740	2320	181.0718	2320	181.0718	5780	NA	C00794	mannitol/sorbitol
1182	1182	Carbohydrate	Fructose, Mannose and Galactose Metabolism	HMDB0000169	HMDB00169	48153	LC/MS Polar	803	2200	225.0616	2200	225.0616	18950	3458-28-4	C00159	mannose
1192	1192	Carbohydrate	Fructose, Mannose and Galactose Metabolism	HMDB0000107	HMDB00107	1117	LC/MS Polar	1003	2360	181.0718	2360	181.0718	11850	608-66-2	C01697	galactitol (dulcitol)
1202	1202	Carbohydrate	Fructose, Mannose and Galactose Metabolism	HMDB0000565	HMDB00565	27719	LC/MS Polar	100001026	3085	195.05099999999999	3085	195.05099999999999	128869	299-28-5	C00880	galactonate
1234	1234	Carbohydrate	Aminosugar Metabolism	HMDB0000127	HMDB00127	15443	LC/MS Polar	100000257	3233.3	193.03540000000001	3233.3	193.03540000000001	444791	207300-70-7	C00191	glucuronate
1245	1245	Carbohydrate	Aminosugar Metabolism	HMDB0000230	HMDB00230	32377	LC/MS Polar	1162	3072.6	308.09870000000001	3072.6	308.09870000000001	439197	131-48-6	C00270	N-acetylneuraminate
1257	1257	Carbohydrate	Aminosugar Metabolism	HMDB0000613	HMDB00613	42420	LC/MS Polar	100001320	2186	135.0299	2186	135.0299	2781043	88759-55-1	NA	erythronate*
1259	1259	Carbohydrate	Aminosugar Metabolism	HMDB0000215	HMDB00215	46539	LC/MS Pos Early	100006435	715	222.09719999999999	715	222.09719999999999	24139	NA	NA	N-acetylglucosamine/N-acetylgalactosamine
1260	1260	Carbohydrate	Aminosugar Metabolism	HMDB0000833	HMDB00833	37123	LC/MS Pos Early	100001491	636	326.10820000000001	636	326.10820000000001	123802	1113-83-3	C03410	N-glycolylneuraminate
1265	1265	Energy	TCA Cycle	HMDB0000094	HMDB00094	1564	LC/MS Neg	1124	582	191.0197	582	191.0197	311	77-92-9	C00158	citrate
1267	1267	Energy	TCA Cycle	NA	NA	46173	LC/MS Neg	100001359	580	173.00919999999999	580	173.00919999999999	NA	NA	NA	aconitate [cis or trans]
1271	1271	Energy	TCA Cycle	HMDB0000208	HMDB00208	528	LC/MS Polar	93	2700	145.01429999999999	2700	145.01429999999999	51	305-72-6;328-50-7;22202-68-2	C00026	alpha-ketoglutarate
1273	1273	Energy	TCA Cycle	HMDB0061717	HMDB61717	37058	LC/MS Pos Early	100001948	2291	262.12849999999997	2291	262.12849999999997	71464481	256928-74-2	NA	succinylcarnitine (C4)
1274	1274	Energy	TCA Cycle	HMDB0000254	HMDB00254	1437	LC/MS Polar	252	3149	117.0193	3149	117.0193	1110	110-15-6	C00042	succinate
1275	1275	Energy	TCA Cycle	HMDB0000134	HMDB00134	1643	LC/MS Polar	330	3084	115.00369999999999	3084	115.00369999999999	444972	100-17-8	C00122	fumarate
1277	1277	Energy	TCA Cycle	HMDB0000156	HMDB00156	1303	LC/MS Neg	409	615.6	133.01429999999999	615.6	133.01429999999999	525	6915-15-7	C00149	malate
1282	1282	Energy	TCA Cycle	HMDB0031193	HMDB31193	15729	LC/MS Polar	2053	4200	175.0248	4200	175.0248	14925	99-14-9	C19806	tricarballylate
1292	1292	Energy	Oxidative Phosphorylation	HMDB0001429	HMDB01429	42109	LC/MS Pos Early	461	576	98.984200000000001	576	98.984200000000001	1061	7664-38-2	C00009	phosphate
1294	1294	Lipid	Fatty Acid Synthesis	HMDB0002095	HMDB02095	37059	LC/MS Pos Early	100001526	2086	248.1129	2086	248.1129	22833583	853728-01-5	NA	malonylcarnitine
1295	1295	Lipid	Fatty Acid Synthesis	HMDB0000691	HMDB00691	15872	LC/MS Polar	818	3447	103.00369999999999	3447	103.00369999999999	867	141-82-2;26522-22-85-0	C00383	malonate
1309	1309	Lipid	Short Chain Fatty Acid	HMDB0000892	HMDB00892	33443	LC/MS Neg	1136	1718	101.0608	1718	101.0608	7991	109-52-4	C00803	valerate (5:0)
1310	1310	Lipid	Medium Chain Fatty Acid	HMDB0000535	HMDB00535	32489	LC/MS Neg	926	2713.7	115.0765	2713.7	115.0765	8892	142-62-1	C01585	caproate (6:0)
1311	1311	Lipid	Medium Chain Fatty Acid	HMDB0000666	HMDB00666	1644	LC/MS Neg	925	3670	129.09209999999999	3670	129.09209999999999	8094	111-14-8	C17714	heptanoate (7:0)
1312	1312	Lipid	Medium Chain Fatty Acid	HMDB0000482	HMDB00482	32492	LC/MS Neg	932	4362	143.1078	4362	143.1078	379	124-07-2	C06423	caprylate (8:0)
1314	1314	Lipid	Medium Chain Fatty Acid	HMDB0000511	HMDB00511	1642	LC/MS Neg	888	5090.7	171.13910000000001	5090.7	171.13910000000001	2969	334-48-5	C01571	caprate (10:0)
1315	1315	Lipid	Medium Chain Fatty Acid	NA	NA	62873	LC/MS Neg	100002796	4890	169.1234	4890	169.1234	5312351	505-90-8	NA	cis-4-decenoate (10:1n6)*
1319	1319	Lipid	Medium Chain Fatty Acid	HMDB0000638	HMDB00638	1645	LC/MS Neg	181	5300	199.1704	5300	199.1704	3893	143-07-7	C02679	laurate (12:0)
1320	1320	Lipid	Medium Chain Fatty Acid	HMDB0000529	HMDB00529	33968	LC/MS Neg	100001232	5224	197.15469999999999	5224	197.15469999999999	5312378	2430-94-6	NA	5-dodecenoate (12:1n7)
1323	1323	Lipid	Long Chain Saturated Fatty Acid	HMDB0000806	HMDB00806	1365	LC/MS Neg	519	5440	227.20169999999999	5440	227.20169999999999	11005	544-63-8	C06424	myristate (14:0)
1324	1324	Lipid	Long Chain Saturated Fatty Acid	HMDB0000826	HMDB00826	1361	LC/MS Neg	980	5521	241.21729999999999	5521	241.21729999999999	13849	1002-84-2;10002-84-2	C16537	pentadecanoate (15:0)
1325	1325	Lipid	Long Chain Saturated Fatty Acid	HMDB0000220	HMDB00220	1336	LC/MS Neg	424	5618	255.233	5618	255.233	985	57-10-3	C00249	palmitate (16:0)
1326	1326	Lipid	Long Chain Saturated Fatty Acid	HMDB0002259	HMDB02259	1121	LC/MS Neg	891	5731	269.24860000000001	5731	269.24860000000001	10465	506-12-7	NA	margarate (17:0)
1327	1327	Lipid	Long Chain Saturated Fatty Acid	HMDB0000827	HMDB00827	1358	LC/MS Neg	439	5872	283.26429999999999	5872	283.26429999999999	5281	57-11-4	C01530	stearate (18:0)
1328	1328	Lipid	Long Chain Saturated Fatty Acid	HMDB0000772	HMDB00772	1356	LC/MS Neg	892	6068	297.2799	6068	297.2799	12591	646-30-0	C16535	nonadecanoate (19:0)
1329	1329	Lipid	Long Chain Saturated Fatty Acid	HMDB0002212	HMDB02212	1118	LC/MS Neg	893	6240	311.29559999999998	6240	311.29559999999998	10467	506-30-9	C06425	arachidate (20:0)
1336	1336	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0002000	HMDB02000	32418	LC/MS Neg	100001198	5346.9	225.18600000000001	5346.9	225.18600000000001	5281119	544-64-9	C08322	myristoleate (14:1n5)
1339	1339	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0003229	HMDB03229	33447	LC/MS Neg	452	5475	253.21729999999999	5475	253.21729999999999	445638	373-49-9	C08362	palmitoleate (16:1n7)
1341	1341	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0060038	HMDB60038	33971	LC/MS Neg	100001278	5555	267.233	5555	267.233	5312435	29743-97-3	NA	10-heptadecenoate (17:1n7)
1343	1343	Lipid	Long Chain Monounsaturated Fatty Acid	NA	NA	52285	LC/MS Neg	100008930	5655	281.24860000000001	5655	281.24860000000001	NA	NA	NA	oleate/vaccenate (18:1)
1349	1349	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0013622	HMDB13622	33972	LC/MS Neg	100001277	5780	295.26429999999999	5780	295.26429999999999	5312513	73033-09-7	NA	10-nonadecenoate (19:1n9)
1352	1352	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0002231	HMDB02231	33587	LC/MS Neg	100001335	5950	309.2799	5950	309.2799	5282768	NA	C16526	eicosenoate (20:1n9 or 1n11)
1356	1356	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0002068	HMDB02068	1552	LC/MS Neg	1087	6355.6	337.31119999999999	6355.6	337.31119999999999	5281116	112-86-7	C08316	erucate (22:1n9)
1359	1359	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0000560	HMDB00560	62850	LC/MS Neg	100020343	5292	223.1704	5292	223.1704	5312409	39039-37-7	NA	tetradecadienoate (14:2)*
1366	1366	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0006547	HMDB06547	33969	LC/MS Neg	100001229	5395	275.20170000000002	5395	275.20170000000002	5312508	111174-40-4	C16300	stearidonate (18:4n3)
1369	1369	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0001999	HMDB01999	18467	LC/MS Neg	2050	5450	301.21730000000002	5450	301.21730000000002	446284	10-2005-9;10417-94-4	C06428	eicosapentaenoate (EPA; 20:5n3)
1371	1371	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0006528	HMDB06528	32504	LC/MS Neg	100001181	5571	329.24860000000001	5571	329.24860000000001	6441454	2234-74-4	C16513	docosapentaenoate (DPA; 22:5n3)
1372	1372	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0002183	HMDB02183	44675	LC/MS Neg	100000665	5525	327.233	5525	327.233	445580	6217-54-5	C06429	docosahexaenoate (DHA; 22:6n3)
1375	1375	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0000477	HMDB00477	57652	LC/MS Neg	100009394	5398	251.20169999999999	5398	251.20169999999999	NA	28290-73-5	NA	hexadecadienoate (16:2n6)
1376	1376	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0000673	HMDB00673	1105	LC/MS Neg	180	5535	279.233	5535	279.233	5280450	60-33-3	C01595	linoleate (18:2n6)
1378	1378	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0003073	HMDB03073	34035	LC/MS Neg	100001337	5450	277.21730000000002	5450	277.21730000000002	5280934	NA	C06426	linolenate (18:3n3 or 3n6)
1379	1379	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0005060	HMDB05060	17805	LC/MS Neg	1231	5730	307.26429999999999	5730	307.26429999999999	6439848	2091-39-6	C16525	dihomolinoleate (20:2n6)
1381	1381	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0002925	HMDB02925	35718	LC/MS Neg	100001739	5596	305.24860000000001	5596	305.24860000000001	5280581	17046-59-2	C03242	dihomolinolenate (20:3n3 or 3n6)
1382	1382	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0001043	HMDB01043	1110	LC/MS Neg	229	5535	303.233	5535	303.233	444899	506-32-1	C00219	arachidonate (20:4n6)
1384	1384	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0002226	HMDB02226	32980	LC/MS Neg	100001193	5678	331.26429999999999	5678	331.26429999999999	5497181	2091-25-0	C16527	adrenate (22:4n6)
1385	1385	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0001976	HMDB01976	37478	LC/MS Neg	100001580	5624.5	329.24860000000001	5624.5	329.24860000000001	6441454	25182-74-5	C16513	docosapentaenoate (n6 DPA; 22:5n6)
1386	1386	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0061714	HMDB61714	32415	LC/MS Neg	100001182	6034	335.29559999999998	6034	335.29559999999998	5282807	7370-49-2	C16533	docosadienoate (22:2n6)
1388	1388	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0010378	HMDB10378	35174	LC/MS Neg	100001472	5650	305.24860000000001	5650	305.24860000000001	5312531	20590-32-3	NA	mead acid (20:3n9)
1440	1440	Lipid	Fatty Acid, Branched	NA	NA	62781	LC/MS Neg	100019953	6170	311.29559999999998	6170	311.29559999999998	4383090	NA	NA	18-methylnonadecanoate (i20:0)
1444	1444	Lipid	Fatty Acid, Branched	NA	NA	38768	LC/MS Neg	100002945	5695	269.24869999999999	5695	269.24869999999999	17903417	NA	NA	(14 or 15)-methylpalmitate (a17:0 or i17:0)
1448	1448	Lipid	Fatty Acid, Branched	HMDB0037397	HMDB37397	38296	LC/MS Neg	100002356	5993	297.2799	5993	297.2799	3083779	2724-59-6	NA	(16 or 17)-methylstearate (a19:0 or i19:0)
1465	1465	Lipid	Fatty Acid, Dicarboxylate	HMDB0000661	HMDB00661	396	LC/MS Polar	339	2900	131.035	2900	131.035	743	110-94-1	C00489	glutarate (C5-DC)
1469	1469	Lipid	Fatty Acid, Dicarboxylate	NA	HMDB0059655	37253	LC/MS Polar	100002070	3352.8	147.0299	3352.8	147.0299	43	40951-21-1	C02630	2-hydroxyglutarate
1473	1473	Lipid	Fatty Acid, Dicarboxylate	HMDB0000321	HMDB00321	31934	LC/MS Polar	100001153	3000	161.0455	3000	161.0455	193530	18294-85-4	C02360	2-hydroxyadipate
1474	1474	Lipid	Fatty Acid, Dicarboxylate	HMDB0000345	HMDB00345	62069	LC/MS Polar	100004396	3131	161.0455	3131	161.0455	151913	NA	NA	3-hydroxyadipate*
1477	1477	Lipid	Fatty Acid, Dicarboxylate	HMDB0000176	HMDB00176	20676	LC/MS Polar	100000707	2640	115.00369999999999	2640	115.00369999999999	444266	110-16-7	C01384	maleate
1479	1479	Lipid	Fatty Acid, Dicarboxylate	NA	NA	61866	LC/MS Polar	100019981	2816	157.0506	2816	157.0506	NA	NA	NA	heptenedioate (C7:1-DC)*
1484	1484	Lipid	Fatty Acid, Dicarboxylate	HMDB0000784	HMDB00784	18362	LC/MS Polar	2029	2520	187.0976	2520	187.0976	2266	123-99-9	C08261	azelate (nonanedioate; C9)
1489	1489	Lipid	Fatty Acid, Dicarboxylate	NA	NA	62276	LC/MS Neg	100020478	5146	195.13910000000001	5146	195.13910000000001	NA	NA	NA	dodecadienoate (12:2)*
1494	1494	Lipid	Fatty Acid, Dicarboxylate	HMDB0000872	HMDB00872	35669	LC/MS Neg	100001613	3985	257.17579999999998	3985	257.17579999999998	13185	821-38-5	NA	tetradecanedioate (C14)
1497	1497	Lipid	Fatty Acid, Dicarboxylate	HMDB0000672	HMDB00672	35678	LC/MS Neg	100001614	4615	285.20710000000003	4615	285.20710000000003	10459	505-54-4	C19615	hexadecanedioate (C16)
1501	1501	Lipid	Fatty Acid, Dicarboxylate	HMDB0000782	HMDB00782	36754	LC/MS Neg	100001615	5043	313.23840000000001	5043	313.23840000000001	70095	871-70-5	NA	octadecanedioate (C18)
1502	1502	Lipid	Fatty Acid, Dicarboxylate	NA	NA	61861	LC/MS Neg	100019978	4875	311.22280000000001	4875	311.22280000000001	NA	NA	NA	octadecenedioate (C18:1-DC)*
1554	1554	Lipid	Fatty Acid, Amino	NA	NA	43761	LC/MS Pos Early	100004542	3160	146.11760000000001	3160	146.11760000000001	227939	1115-90-8	NA	2-aminoheptanoate
1572	1572	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0002013	HMDB02013	32412	LC/MS Pos Early	100001054	2860	232.15430000000001	2860	232.15430000000001	439829	25576-40-3	C02862	butyrylcarnitine (C4)
1573	1573	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0000808	HMDB00808	31850	LC/MS Neg	100001151	1470	144.06659999999999	1470	144.06659999999999	88412	20208-73-5	NA	butyrylglycine (C4)
1575	1575	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0000824	HMDB00824	32452	LC/MS Pos Early	100001162	2590	218.1387	2590	218.1387	107738	17298-37-2	C03017	propionylcarnitine (C3)
